"Name","displayed_name","outdegree","totaldegree","Node Type"
1,"Richard Alba",1,2,"person"
2,"Howard Aldrich",0,3,"person"
3,"Karen Anderson",0,1,"person"
4,"John Barnes",1,1,"person"
5,"Murray Beauchamp",2,2,"person"
6,"Steve Berkowitz",4,4,"person"
7,"Paul Bernard",0,1,"person"
8,"Phil Bonacich",0,2,"person"
9,"C. Bottomley",0,1,"person"
10,"Paul Burstein",0,1,"person"
11,"Ron Burt",0,2,"person"
12,"Marlee Campbell",0,1,"person"
13,"Peter Carrington",0,7,"person"
14,"June Corman",0,2,"person"
15,"Diana Crane",1,3,"person"
16,"Barry Crump",0,5,"person"
17,"Ellan Derow",0,4,"person"
18,"Barry Edgington",0,1,"person"
19,"Bonnie Erickson",8,9,"person"
20,"Tom Fararo",0,1,"person"
21,"Claude Fischer",0,3,"person"
22,"Lin Freeman",5,5,"person"
23,"Joe Galaskiewicz",0,1,"person"
24,"Chad Gordon",14,14,"person"
25,"Mark Granovetter",1,3,"person"
26,"Stephen Hansell",0,1,"person"
27,"Roxanne Hiltz",0,1,"person"
28,"Paul Holland",1,1,"person"
29,"Leslie Howard",2,3,"person"
30,"Nancy Howell",2,4,"person"
31,"Eugene Jacobson",3,3,"person"
32,"Davor Jedlicka",0,3,"person"
33,"Charles Kadushin",3,3,"person"
34,"Al Klovdahl",0,1,"person"
35,"Ed Laumann",7,8,"person"
36,"Joel Levine",3,6,"person"
37,"Nan Lin",1,4,"person"
38,"Dennis Magill",2,2,"person"
39,"Peter Marsden",0,3,"person"
40,"John Mcloughlin",0,1,"person"
41,"Livinia Mostacci",0,5,"person"
42,"Nick Mullins",1,3,"person"
43,"Patrick Mullins",1,1,"person"
44,"Stephen Murray",0,3,"person"
45,"Bruce Nickum",0,1,"person"
46,"William Phelan",0,1,"person"
47,"Forrest Pitts",1,1,"person"
48,"Nick Poushinsky",0,2,"person"
49,"Bill Richards",1,3,"person"
50,"Ev Rogers",5,5,"person"
51,"Norman Shulman",0,1,"person"
52,"M. E. Smith",0,1,"person"
53,"Lorne Tepperman",2,3,"person"
54,"Michael Useem",1,3,"person"
55,"Lois Verbrugge",0,3,"person"
56,"Mike Weinstein",1,3,"person"
57,"Thomas Weisner",0,1,"person"
58,"Barry Wellman",6,8,"person"
59,"Harrison White",14,14,"person"
60,"Rolf Wigand",0,3,"person"
