"V1","V2","weight"
1,11,1
1,15,1
1,16,1
1,26,2
1,54,1
2,13,1
2,25,2
2,26,3
2,31,2
2,36,2
2,51,1
2,55,1
3,4,2
3,56,1
4,9,1
4,16,1
4,28,1
4,36,1
4,51,1
4,52,1
4,54,1
5,7,2
5,12,1
5,14,1
5,15,1
5,18,4
5,27,1
5,28,3
5,29,1
5,32,1
5,37,1
5,39,3
5,40,2
5,42,1
5,47,3
5,51,1
5,54,1
5,57,1
5,59,1
5,62,1
5,64,1
6,26,1
6,44,1
7,8,2
7,12,1
7,28,1
7,40,1
7,49,1
7,52,1
7,59,1
7,61,1
8,35,1
9,11,1
9,15,1
9,21,1
9,26,3
9,27,1
9,30,2
9,36,2
9,50,1
9,51,2
9,52,2
9,58,1
9,59,1
9,61,1
9,65,1
9,66,2
10,19,1
10,29,1
10,50,1
10,51,1
11,16,1
11,26,1
11,27,1
11,28,1
11,39,1
11,51,1
11,52,1
11,54,5
11,57,1
11,64,2
12,13,1
12,19,1
12,39,1
12,40,1
12,57,1
12,59,1
13,19,1
13,26,1
13,31,1
13,40,1
13,48,1
13,49,1
13,51,1
13,57,1
14,32,1
14,37,3
14,39,1
14,42,1
14,51,3
14,57,1
14,62,1
15,28,2
15,29,1
15,32,1
15,34,2
15,36,1
15,37,1
15,40,1
15,42,4
15,50,1
15,51,2
15,52,1
15,53,1
15,54,1
15,59,2
15,64,1
15,66,1
16,25,1
16,26,1
16,35,1
16,51,1
16,54,1
17,21,1
17,24,1
17,25,1
17,26,1
17,31,2
17,35,1
17,39,1
17,44,3
17,50,1
17,51,1
17,52,2
17,55,1
18,27,1
18,45,1
18,47,2
19,20,1
19,29,3
19,30,1
19,39,1
19,40,2
19,46,1
19,58,1
19,59,2
20,38,1
20,45,1
20,46,1
20,49,1
20,51,2
20,54,1
20,59,1
20,61,1
20,63,2
21,26,2
21,51,1
22,25,1
22,26,1
22,36,1
22,50,1
22,51,1
22,62,1
22,65,2
23,26,1
23,51,2
24,25,1
24,26,1
24,31,1
25,26,2
25,31,1
25,35,1
25,46,1
25,50,1
25,51,1
25,57,1
25,65,2
26,31,3
26,35,1
26,36,1
26,37,1
26,46,1
26,47,1
26,51,3
26,54,2
26,65,2
26,66,1
27,29,3
27,42,1
27,47,1
27,49,1
27,54,1
27,59,1
27,61,2
28,29,1
28,36,2
28,37,1
28,40,2
28,42,2
28,51,3
28,52,1
28,59,1
28,64,1
29,32,1
29,40,1
29,42,1
29,46,1
29,47,1
29,54,1
29,59,1
29,60,1
29,62,1
29,64,1
30,32,1
30,37,1
30,39,1
30,58,3
31,35,1
31,39,1
31,47,1
31,51,3
31,52,1
32,37,2
32,39,1
32,42,3
32,50,1
32,51,2
32,54,2
32,57,1
32,58,2
32,60,1
32,61,1
32,62,2
33,38,1
33,46,2
34,35,1
34,53,2
34,55,1
35,36,2
35,39,1
35,51,1
35,52,1
35,65,2
35,66,1
36,37,1
36,38,1
36,39,1
36,40,1
36,47,1
36,49,1
36,51,4
36,52,1
36,58,1
36,59,1
36,60,1
36,65,1
36,66,2
37,38,1
37,39,2
37,42,3
37,45,1
37,50,1
37,51,4
37,54,2
37,57,1
37,58,1
37,60,1
37,62,1
38,39,1
38,42,2
38,43,1
38,45,2
38,49,1
38,50,1
38,51,2
38,54,1
38,58,1
38,60,2
38,62,1
39,42,2
39,45,1
39,47,1
39,50,1
39,51,4
39,52,1
39,57,1
39,58,2
39,60,1
39,62,1
40,42,1
40,47,1
40,49,2
40,51,1
40,58,1
40,59,49
40,61,2
40,62,2
40,63,2
40,64,1
41,49,1
41,61,1
42,43,1
42,45,1
42,49,1
42,50,2
42,51,2
42,54,2
42,58,2
42,59,1
42,60,1
42,61,1
42,64,1
43,66,1
44,52,1
45,50,1
45,51,2
45,58,2
45,60,1
45,62,2
45,66,8
47,51,1
47,53,1
47,54,1
47,55,1
47,56,1
47,59,1
47,61,1
49,58,1
49,59,2
49,60,1
49,61,18
49,62,1
50,51,6
50,52,2
50,58,1
50,59,1
50,60,1
50,62,1
50,65,1
50,66,1
51,52,2
51,54,2
51,57,2
51,58,1
51,59,2
51,60,1
51,62,2
51,63,1
51,65,1
51,66,2
52,59,1
52,65,2
52,66,1
53,55,1
54,58,1
54,60,1
54,62,1
54,63,2
54,64,1
54,66,1
56,61,1
57,62,1
58,59,1
58,60,1
58,61,1
58,62,1
58,64,1
59,61,2
59,62,2
59,64,1
59,66,1
60,62,1
61,62,1
62,66,2
