"Source","Target"
1,16
4,17
5,48
5,52
6,13
6,14
6,16
6,41
15,37
19,3
19,13
19,14
19,16
19,17
19,18
19,41
19,44
22,12
22,20
22,32
22,45
22,48
24,8
24,15
24,21
24,25
24,30
24,35
24,36
24,40
24,42
24,46
24,53
24,54
24,56
24,58
25,21
28,36
29,2
29,17
30,13
30,41
31,37
31,49
31,60
33,1
33,15
33,27
35,2
35,11
35,23
35,26
35,34
35,39
35,55
36,2
36,39
36,55
37,11
38,13
38,44
42,39
43,16
47,32
49,60
50,37
50,44
50,49
50,55
50,60
53,13
53,41
54,10
56,32
58,9
58,13
58,16
58,17
58,41
58,51
59,7
59,8
59,13
59,19
59,21
59,25
59,29
59,30
59,36
59,42
59,54
59,56
59,57
59,58
