"Id","Label","outdegree","totaldegree"
1,"Richard Alba",1,2
2,"Howard Aldrich",0,3
3,"Karen Anderson",0,1
4,"John Barnes",1,1
5,"Murray Beauchamp",2,2
6,"Steve Berkowitz",4,4
7,"Paul Bernard",0,1
8,"Phil Bonacich",0,2
9,"C. Bottomley",0,1
10,"Paul Burstein",0,1
11,"Ron Burt",0,2
12,"Marlee Campbell",0,1
13,"Peter Carrington",0,7
14,"June Corman",0,2
15,"Diana Crane",1,3
16,"Barry Crump",0,5
17,"Ellan Derow",0,4
18,"Barry Edgington",0,1
19,"Bonnie Erickson",8,9
20,"Tom Fararo",0,1
21,"Claude Fischer",0,3
22,"Lin Freeman",5,5
23,"Joe Galaskiewicz",0,1
24,"Chad Gordon",14,14
25,"Mark Granovetter",1,3
26,"Stephen Hansell",0,1
27,"Roxanne Hiltz",0,1
28,"Paul Holland",1,1
29,"Leslie Howard",2,3
30,"Nancy Howell",2,4
31,"Eugene Jacobson",3,3
32,"Davor Jedlicka",0,3
33,"Charles Kadushin",3,3
34,"Al Klovdahl",0,1
35,"Ed Laumann",7,8
36,"Joel Levine",3,6
37,"Nan Lin",1,4
38,"Dennis Magill",2,2
39,"Peter Marsden",0,3
40,"John Mcloughlin",0,1
41,"Livinia Mostacci",0,5
42,"Nick Mullins",1,3
43,"Patrick Mullins",1,1
44,"Stephen Murray",0,3
45,"Bruce Nickum",0,1
46,"William Phelan",0,1
47,"Forrest Pitts",1,1
48,"Nick Poushinsky",0,2
49,"Bill Richards",1,3
50,"Ev Rogers",5,5
51,"Norman Shulman",0,1
52,"M. E. Smith",0,1
53,"Lorne Tepperman",2,3
54,"Michael Useem",1,3
55,"Lois Verbrugge",0,3
56,"Mike Weinstein",1,3
57,"Thomas Weisner",0,1
58,"Barry Wellman",6,8
59,"Harrison White",14,14
60,"Rolf Wigand",0,3
