"Source","Target","weight"
"BOB","COLE",1
"BOB","MAN FROM ANOTHER PLACE",1
"BOB","COOPER",1
"BOB","SARAH",1
"BOB","DONNA",1
"BOB","LAURA",2
"BOB","SECOND WOODSMAN",1
"BOB","JACQUES",1
"BOB","RONETTE",1
"BOB","ALBERT",1
"BOB","MIKE",1
"BOB","JEFFRIES",1
"BOB","FIRST WOODSMAN",1
"TRUCKER","LAURA",2
"TRUCKER","DONNA",1
"GERARD","LELAND",1
"GERARD","LAURA",1
"GERARD","MECHANIC",1
"NORMA","LAURA",1
"NORMA","TOAD",1
"NORMA","ED",1
"NORMA","NADINE",1
"NORMA","SHELLY",1
"DOC","LELAND",1
"DOC","LAURA",1
"DOC","EILEEN",1
"DOC","DONNA",1
"OLD GUY","STANLEY",1
"OLD GUY","DESMOND",1
"OLD GUY","IRENE",1
"COOPER","COLE",2
"COOPER","GORDON",1
"COOPER","ALBERT",2
"COOPER","RIGHT",1
"COOPER","ANNIE",1
"COOPER","CARL",1
"COOPER","SECOND WOODSMAN",1
"COOPER","STANLEY",1
"COOPER","MAN FROM ANOTHER PLACE",3
"COOPER","MIKE",1
"COOPER","JEFFRIES",1
"COOPER","FIRST WOODSMAN",1
"JACQUES","LAURA",2
"JACQUES","LEO",1
"JACQUES","DONNA",1
"JACQUES","TERESA",1
"JACQUES","BOBBY",1
"JACQUES","RONETTE",1
"TERESA","LELAND",1
"TERESA","LAURA",1
"TERESA","SARAH",1
"EILEEN","LELAND",1
"EILEEN","LAURA",2
"EILEEN","DONNA",1
"IRENE","STANLEY",1
"IRENE","DESMOND",1
"SPARKY","ED",1
"WOMAN","LAURA",1
"DESMOND","COLE",1
"DESMOND","CLIFF",2
"DESMOND","CABLE",3
"DESMOND","CARL",3
"DESMOND","STANLEY",8
"DESMOND","JACK",1
"HAROLD","LAURA",1
"CLIFF","LAURA",1
"CLIFF","CABLE",1
"CLIFF","CARL",1
"CLIFF","STANLEY",1
"CLIFF","BOBBY",1
"BOBBY","JAMES",1
"BOBBY","LAURA",3
"MAN FROM ANOTHER PLACE","COLE",1
"MAN FROM ANOTHER PLACE","ANNIE",1
"MAN FROM ANOTHER PLACE","SECOND WOODSMAN",1
"MAN FROM ANOTHER PLACE","ALBERT",1
"MAN FROM ANOTHER PLACE","MIKE",1
"MAN FROM ANOTHER PLACE","JEFFRIES",1
"MAN FROM ANOTHER PLACE","FIRST WOODSMAN",1
"JACOBY","LAURA",1
"SHELLY","LAURA",1
"SHELLY","TOAD",1
"SHELLY","LEO",1
"SHELLY","NADINE",1
"SHELLY","GRANDSON",1
"SHELLY","ED",1
"ED","LAURA",1
"ED","NADINE",1
"ED","PETE",1
"RIGHT","COLE",1
"RIGHT","GORDON",1
"SARAH","LELAND",2
"SARAH","LAURA",4
"CARL","STANLEY",2
"CARL","CHET",1
"JAMES","LELAND",1
"JAMES","LAURA",3
"LOG LADY","LAURA",1
"JERRY","LELAND",1
"JERRY","JOHNNY",1
"JERRY","BEN",1
"JERRY","SYLVIA",1
"BEN","LELAND",1
"BEN","LAURA",1
"BEN","JOHNNY",1
"BEN","SYLVIA",1
"MECHANIC","LELAND",1
"MECHANIC","LAURA",1
"COLE","GORDON",1
"COLE","ALBERT",3
"COLE","FIRST WOODSMAN",1
"COLE","SECOND WOODSMAN",1
"COLE","STANLEY",1
"COLE","JEFFRIES",1
"COLE","MIKE",1
"TOMMY","LAURA",1
"TOMMY","BUCK",1
"TOMMY","DONNA",1
"BUCK","DONNA",1
"BUCK","LAURA",1
"LELAND","JOHNNY",1
"LELAND","DONNA",1
"LELAND","LAURA",5
"LELAND","SYLVIA",1
"ALBERT","SECOND WOODSMAN",1
"ALBERT","MIKE",1
"ALBERT","JEFFRIES",1
"ALBERT","FIRST WOODSMAN",1
"GRANDSON","LAURA",1
"BELLHOP","JEFFRIES",1
"BETTY","LAURA",1
"NADINE","LAURA",1
"DONNA","RONETTE",1
"DONNA","MIKE",1
"DONNA","LAURA",5
"MIKE","SECOND WOODSMAN",1
"MIKE","JEFFRIES",1
"MIKE","FIRST WOODSMAN",1
"JEFFRIES","SECOND WOODSMAN",1
"JEFFRIES","FIRST WOODSMAN",1
"FIRST WOODSMAN","SECOND WOODSMAN",1
"SYLVIA","JOHNNY",1
"CABLE","STANLEY",1
"RONETTE","LAURA",1
